Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
protein.ID	Protein.name	Gene.name	Protein.IDs	Protein.names	Gene.names
Q13286	Battenin	CLN3	Q13286;Q13286-5;A0A0D9SFH9;H3BR00;A0A1B0GW34;A0A1B0GV71;A0A0A0MRC7;A0A024QZB8;Q13286-4;A0A1B0GWD3;Q13286-2;Q13286-3;Q9UBD8;Q13286-7;H3BNK7;A0A1B0GV41;H3BPL0;A0A1B0GWH8;H3BQ48;H3BR84;Q9UP10;Q9UBH5;A0A0D9SF04;Q13286-6;O95090;A0A1B0GUU4	Battenin	CLN3
A0A024QZW4	Adenosine 3-phospho 5-phosphosulfate transporter 2	SLC35B3	A0A024QZW4;Q9H1N7;A0A3B3IRN3;Q9H1N7-2;Q9H1N7-3	Adenosine 3-phospho 5-phosphosulfate transporter 2	SLC35B3
A0A024R161	Guanine nucleotide-binding protein subunit gamma	hCG_1994888	A0A024R161;Q9H1X3-3;F2Z3D1;J3QR79	Guanine nucleotide-binding protein subunit gamma;DnaJ homolog subfamily C member 25	hCG_1994888;DNAJC25
A0A024R1R8	Translation machinery-associated protein 7	hCG_2014768	A0A024R1R8;Q9Y2S6	Translation machinery-associated protein 7	hCG_2014768;TMA7
A0A024R216	Hepatoma-derived growth factor-related protein 3	HDGFRP3	A0A024R216;Q9Y3E1;H3BPQ6;H3BPM9	Hepatoma-derived growth factor-related protein 3	HDGFRP3
A0A024R442	Aspartyl aminopeptidase	DNPEP	A0A024R442;E7ETB3;Q9ULA0;E7EMB6;B9ZVU2;F8WAN0;C9JBE1;E7EPX3;E5RJ35;C9JRG3;C9J1E2	Aspartyl aminopeptidase	DNPEP
A0A024R4E5	Vigilin	HDLBP	A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;C9JZI8;C9JHZ8;H7BZC3;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;H7C3D0;C9J739;C9JHS9	Vigilin	HDLBP
A0A087WZA9	Transmembrane protein 120A	TMEM120A	A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8-2;Q9BXJ8;A0A087WZF4;A0A087WV11	Transmembrane protein 120A	TMEM120A;TMPIT
A0A024R4M0	40S ribosomal protein S9	RPS9	A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	40S ribosomal protein S9	RPS9
A0A024R571	EH domain-containing protein 1	EHD1	A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1	EH domain-containing protein 1	EHD1
A0A024R5I4	Solute carrier organic anion transporter family member 2B1	SLCO2B1	A0A024R5I4;O94956;O94956-3;E9PRW4;E9PI53;A0A0A0MTF1;O94956-2;O94956-4;E9PN87;E9PIU9;A0A1B0GX35;H0YE11	Solute carrier organic anion transporter family member 2B1	SLCO2B1
A0A0A0MRU5	Ceroid-lipofuscinosis neuronal protein 5	CLN5	A0A0A0MRU5;A0A024R644;O75503;A0A1B0GWI2;A0A087WZY0;A0A1B0GTR6;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94;A0A1B0GVL0;A0A1B0GU14	Ceroid-lipofuscinosis neuronal protein 5	CLN5
